song_id,song_title,artist,album,genre,release_date,duration,popularity,stream,language,explicit_content,label,composer,producer,collaboration
SP11023,Exist try treat.,Maria Lane,Market.,Hip-Hop,1997-01-23,260.0,20,4037261,French,No,Universal Music,Lawrence Clark,Amanda Hall,
SP7941,Talk sign admit.,Tonya Smith MD,Bank.,Jazz,1996-12-13,262.0,75,1438538,English,No,Def Jam,Dominic Michael,Amanda Luna,
SP30600,Near late.,Denise Gates,List direction.,Hip-Hop,1997-10-14,208.0,51,62173041,English,Yes,Def Jam,Lisa Haley,Victor Whitehead,
SP12943,Unit big series.,Alison Padilla,Everyone herself.,Classical,2019-10-27,179.0,25,12327716,Korean,Yes,Def Jam,Richard Wells,Megan Lee,
SP32516,Source establish.,Isaiah Diaz,Among.,Hip-Hop,1998-09-04,235.0,53,60318284,Italian,No,Universal Music,Cynthia Winters,Andrea Williamson,Catherine Silva
SP42210,Wrong.,John Chen,Heavy suddenly.,Folk,2004-03-10,253.0,7,74253568,English,Yes,Universal Music,Gregory Hart,Bradley Mitchell,
SP43266,Tell tonight beat.,Jessica Tran,Seven.,Pop,2016-05-14,171.0,8,3938614,English,Yes,Sony Music,Marie Conner,Jason Brown,
SP34425,Step possible toward.,Timothy Wilson,At picture.,Pop,2000-06-19,296.0,15,26436391,English,Yes,Warner Music,Mr. David Cooper DVM,Anthony Houston,
SP1300,Direction itself.,David Bass MD,Likely.,Pop,2012-04-10,244.0,85,90539456,English,No,Sony Music,Adrian Gibson,Scott Stevens,
SP14774,Skill national.,John Lozano,Find drive.,Pop,2006-11-30,130.0,31,98513216,English,Yes,Def Jam,Charles Sullivan,Michael Li,Monica Smith
SP41259,Firm wall.,Tyler Richard,Lead.,Electronic,2014-10-14,317.0,88,95421805,Spanish,No,Indie,Lisa Salazar,Kristopher Roberts MD,
SP47539,Discuss positive determine culture.,Jeremy Gonzalez,Throw smile.,Electronic,2009-12-10,,54,40402388,English,Yes,Atlantic Records,Robert Lara,Kelli Townsend,Seth Hancock
SP14572,Until those.,Gregory Patterson,Forward.,Electronic,2018-12-17,226.0,15,97447503,Spanish,No,Def Jam,Jacqueline Sparks,Monica Bush,
SP5749,Process she anyone.,Laura Johnson,Sell Congress.,Electronic,2007-03-01,,4,51974974,Korean,Yes,Def Jam,Carolyn Ritter,Devin Miller,Tamara Glenn
SP37698,Benefit shoulder person.,Robert Newton,Why leg.,Jazz,2023-04-11,278.0,30,15296368,,Yes,Indie,Jordan Graves,Gabriela Hunter,Lisa Burton
